Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Sex upon Outcome,Age upon Outcome,binary_outcome,index,intake_am_pm,intake_time,percent,domesticIndex,season,time_spend_shelter
Austin (TX),Stray,Normal,Cat,Intact Male,1,Domestic Shorthair Mix,Intact Male,1,0.0,790,PM,2019-05-26,0.38461538461538464,0.54,Quarter 2,9.0
Austin (TX),Stray,Normal,Dog,Intact Male,24,Miniature Poodle Mix,Intact Male,24,0.0,791,PM,2018-01-18,7.6923076923076925,0.54,Quarter 1,1.0
Travis (TX),Stray,Nursing,Dog,Unknown,1,Chihuahua Shorthair Mix,Unknown,1,0.0,792,PM,2018-03-09,1.694915254237288,0.28800000000000003,Quarter 1,0.0
Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,6,Labrador Retriever Mix,Intact Female,7,0.0,793,PM,2017-09-03,2.0,0.48,Quarter 3,30.0
Austin (TX),Public Assist,Normal,Dog,Intact Male,24,others,Neutered Male,24,0.0,794,PM,2019-12-29,0.21691973969631237,0.48,Quarter 3,12.0
Austin (TX),Stray,Sick,Dog,Intact Female,24,Chihuahua Shorthair Mix,Spayed Female,24,0.0,795,PM,2014-09-21,1.694915254237288,0.10800000000000001,Quarter 3,23.0
Austin (TX),Owner Surrender,Normal,Cat,Intact Male,5,Domestic Shorthair Mix,Intact Male,5,1.0,796,AM,2019-09-14,0.38461538461538464,0.6,Quarter 3,5.0
Austin (TX),Stray,Normal,Cat,Unknown,6,Domestic Shorthair Mix,Unknown,6,0.0,797,PM,2019-02-06,0.38461538461538464,0.36000000000000004,Quarter 1,3.0
Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1,others,Spayed Female,1,0.0,798,PM,2016-09-15,0.21691973969631237,0.6,Quarter 3,4.0
Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,24,Pit Bull Mix,Spayed Female,24,0.0,799,AM,2013-12-28,1.5384615384615385,1.0,Quarter 3,8.0
Manor (TX),Owner Surrender,Normal,Cat,Intact Female,3,Domestic Shorthair Mix,Spayed Female,3,0.0,800,PM,2015-06-22,0.38461538461538464,0.6,Quarter 2,7.0
Austin (TX),Stray,Normal,Dog,Intact Male,1,others,Intact Male,2,0.0,801,AM,2013-11-18,0.21691973969631237,0.54,Quarter 3,2.0
Austin (TX),Stray,Normal,Dog,Intact Female,24,others,Spayed Female,24,0.0,802,PM,2019-08-21,0.21691973969631237,0.54,Quarter 2,11.0
Austin (TX),Stray,Aged,Dog,Intact Male,60,Chihuahua Shorthair Mix,Intact Male,60,0.0,803,PM,2016-01-18,1.694915254237288,0.378,Quarter 1,13.0
Del Valle (TX),Stray,Other,Dog,Intact Male,120,others,Intact Male,120,1.0,804,PM,2013-10-11,0.21691973969631237,0.21600000000000003,Quarter 3,4.0
Travis (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Spayed Female,1,0.0,805,PM,2016-04-21,0.38461538461538464,0.54,Quarter 1,26.0
Austin (TX),Owner Surrender,Normal,Dog,Intact Female,24,others,Intact Female,24,0.0,806,PM,2018-03-02,0.21691973969631237,0.6,Quarter 1,1.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Intact Female,2,0.0,807,PM,2013-12-06,0.38461538461538464,0.54,Quarter 3,18.0
Austin (TX),Stray,Nursing,Cat,Intact Male,1,Domestic Shorthair Mix,Intact Male,1,0.0,808,PM,2018-04-06,0.38461538461538464,0.43200000000000005,Quarter 1,0.0
Travis (TX),Stray,Normal,Dog,Neutered Male,120,others,Neutered Male,120,0.0,809,PM,2019-08-06,0.21691973969631237,0.9,Quarter 2,2.0
Travis (TX),Owner Surrender,Injured,Dog,Intact Male,24,others,Neutered Male,24,0.0,810,PM,2017-05-11,0.21691973969631237,0.12,Quarter 2,17.0
Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,24,Domestic Shorthair Mix,Spayed Female,24,0.0,811,AM,2017-08-24,0.38461538461538464,1.0,Quarter 2,1.0
Austin (TX),Stray,Injured,Cat,Intact Female,1,others,Spayed Female,1,0.0,812,PM,2016-10-23,0.21691973969631237,0.10800000000000001,Quarter 3,30.0
Travis (TX),Owner Surrender,Normal,Dog,Spayed Female,36,others,Spayed Female,36,0.0,813,PM,2019-09-21,0.21691973969631237,1.0,Quarter 3,0.0
Lago Vista (TX),Stray,Normal,Dog,Intact Male,1,Labrador Retriever Mix,Neutered Male,1,0.0,814,PM,2016-10-13,2.0,0.54,Quarter 3,40.0
Austin (TX),Stray,Normal,Dog,Spayed Female,48,others,Spayed Female,48,0.0,815,AM,2014-10-25,0.21691973969631237,0.9,Quarter 3,8.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Intact Female,1,0.0,816,PM,2015-09-06,0.38461538461538464,0.54,Quarter 3,1.0
Austin (TX),Stray,Normal,Cat,Intact Female,3,Domestic Shorthair Mix,Spayed Female,3,0.0,817,AM,2016-07-28,0.38461538461538464,0.54,Quarter 2,10.0
Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,11,Pit Bull Mix,Neutered Male,11,0.0,818,PM,2016-11-22,1.5384615384615385,1.0,Quarter 3,8.0
Austin (TX),Stray,Normal,Dog,Spayed Female,132,others,Spayed Female,132,0.0,819,PM,2017-08-07,0.21691973969631237,0.9,Quarter 2,6.0
Austin (TX),Stray,Normal,Dog,Intact Female,1,others,Spayed Female,1,0.0,820,AM,2016-06-11,0.21691973969631237,0.54,Quarter 2,8.0
Bee Cave (TX),Stray,Normal,Dog,Intact Male,48,others,Neutered Male,48,0.0,821,PM,2015-05-06,0.21691973969631237,0.54,Quarter 2,10.0
Austin (TX),Stray,Normal,Cat,Spayed Female,24,Domestic Shorthair Mix,Spayed Female,24,0.0,822,AM,2015-09-10,0.38461538461538464,0.9,Quarter 3,1.0
