Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,binary_outcome,intake_am_pm,intake_time
Austin (TX),Stray,Normal,Intact Male,36,Dog,Neutered Male,36,German Shepherd,0.0,PM,2014-11-29
Austin (TX),Public Assist,Normal,Intact Female,48,Dog,Spayed Female,48,rare_dog,0.0,PM,2019-02-02
Austin (TX),Stray,Nursing,Intact Male,1,Dog,Neutered Male,1,rare_dog,0.0,AM,2014-05-17
Austin (TX),Owner Surrender,Normal,Neutered Male,60,Cat,Neutered Male,60,Domestic Shorthair,0.0,PM,2016-08-09
Austin (TX),Owner Surrender,Normal,Spayed Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,PM,2014-08-16
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2016-11-11
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Medium Hair,0.0,AM,2019-10-26
Austin (TX),Public Assist,Normal,Intact Male,36,Dog,Intact Male,36,Pit Bull,0.0,PM,2019-08-11
Travis (TX),Owner Surrender,Normal,Intact Female,1,Cat,Spayed Female,2,Domestic Shorthair,0.0,PM,2019-10-07
Austin (TX),Stray,Normal,Intact Female,10,Cat,Intact Female,11,Domestic Shorthair,0.0,AM,2017-08-04
Austin (TX),Stray,Sick,Intact Male,7,Dog,Intact Male,7,rare_dog,0.0,AM,2016-05-14
Del Valle (TX),Public Assist,Normal,Intact Female,1,Dog,Intact Female,1,rare_dog,1.0,PM,2013-12-24
Travis (TX),Stray,Normal,Spayed Female,24,Dog,Spayed Female,36,Pit Bull,0.0,PM,2014-05-21
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2014-05-11
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,PM,2018-04-04
Travis (TX),Owner Surrender,Normal,Neutered Male,1,Dog,Neutered Male,1,Labrador Retriever,0.0,AM,2017-02-09
Austin (TX),Wildlife,Sick,Unknown,24,Other,Unknown,24,Bat,1.0,PM,2018-05-19
Austin (TX),Stray,Normal,Neutered Male,60,Cat,Neutered Male,60,Domestic Shorthair,0.0,PM,2017-06-24
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,2,Catahoula,0.0,PM,2013-11-21
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2015-01-23
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2019-04-07
Austin (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,Pit Bull,0.0,PM,2018-03-15
Austin (TX),Owner Surrender,Normal,Neutered Male,36,Dog,Neutered Male,36,Miniature Poodle,0.0,PM,2015-07-02
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,3,Domestic Shorthair,0.0,PM,2019-06-07
Austin (TX),Owner Surrender,Normal,Intact Male,3,Dog,Neutered Male,4,rare_dog,0.0,AM,2019-10-19
Austin (TX),Stray,Normal,Neutered Male,24,Dog,Neutered Male,24,rare_dog,0.0,PM,2014-11-14
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,rare_dog,0.0,AM,2018-11-21
