Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,binary_outcome,intake_am_pm,intake_time,percent,domesticIndex,season,time_spend_shelter
Travis (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,AM,2016-11-17,1.0101010101010102,0.36000000000000004,Quarter 3,0.0
Austin (TX),Stray,Normal,Intact Male,0,Cat,Intact Male,0,Domestic Shorthair,0.0,PM,2014-08-28,0.303951367781155,0.54,Quarter 2,0.0
Austin (TX),Owner Surrender,Normal,Neutered Male,1,Dog,Neutered Male,1,Pit Bull,0.0,PM,2014-11-16,0.7407407407407408,1.0,Quarter 3,8.0
Del Valle (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,PM,2015-05-18,1.0101010101010102,0.36000000000000004,Quarter 2,1.0
Pflugerville (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,2,Siamese,0.0,PM,2015-10-15,0.32786885245901637,0.54,Quarter 3,7.0
Austin (TX),Owner Surrender,Normal,Intact Male,10,Dog,Neutered Male,11,Labrador Retriever,0.0,PM,2018-03-05,0.303951367781155,0.6,Quarter 1,29.0
Austin (TX),Stray,Normal,Unknown,1,Other,Unknown,1,rare,0.0,PM,2019-12-31,1.0101010101010102,0.10800000000000001,Quarter 3,4.0
Austin (TX),Wildlife,Normal,Unknown,36,Other,Unknown,36,Bat,1.0,PM,2014-10-27,1.0101010101010102,0.0,Quarter 3,0.0
Austin (TX),Public Assist,Normal,Intact Male,36,Dog,Intact Male,36,Jack Russell Terrier,0.0,PM,2017-11-27,0.303951367781155,0.48,Quarter 3,18.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2015-10-05,0.303951367781155,0.54,Quarter 3,3.0
Travis (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,2,rare_dog,0.0,PM,2014-09-12,0.32786885245901637,0.54,Quarter 3,17.0
Austin (TX),Stray,Injured,Unknown,1,Other,Unknown,1,Raccoon,1.0,PM,2016-10-02,1.0101010101010102,0.021600000000000005,Quarter 3,0.0
Austin (TX),Euthanasia Request,Aged,Neutered Male,132,Dog,Neutered Male,132,Pit Bull,1.0,PM,2015-10-25,0.7407407407407408,0.0,Quarter 3,1.0
Austin (TX),Stray,Normal,Intact Female,48,Dog,Spayed Female,48,Chihuahua Shorthair,0.0,PM,2014-07-09,0.32786885245901637,0.54,Quarter 2,5.0
