Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,binary_outcome,intake_am_pm,intake_time,percent,domesticIndex,season,time_spend_shelter
Austin (TX),Stray,Other,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,AM,2018-05-11,1.0101010101010102,0.14400000000000002,Quarter 2,0.0
Austin (TX),Owner Surrender,Normal,Intact Female,2,Cat,Intact Female,2,Domestic Shorthair,0.0,PM,2017-01-16,0.32786885245901637,0.6,Quarter 1,2.0
Austin (TX),Stray,Injured,Intact Female,1,Cat,Intact Female,2,Domestic Shorthair,0.0,PM,2019-10-13,0.32786885245901637,0.10800000000000001,Quarter 3,10.0
Austin (TX),Stray,Normal,Intact Female,3,Dog,Spayed Female,3,Chihuahua Longhair,0.0,PM,2014-09-19,0.32786885245901637,0.54,Quarter 3,4.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,2,Boxer,0.0,PM,2015-06-15,0.32786885245901637,0.54,Quarter 2,5.0
Austin (TX),Owner Surrender,Normal,Spayed Female,156,Cat,Spayed Female,168,Domestic Longhair,0.0,AM,2014-02-11,0.7575757575757576,1.0,Quarter 1,155.0
Austin (TX),Stray,Normal,Neutered Male,36,Dog,Neutered Male,36,Pit Bull,0.0,PM,2019-04-20,0.7407407407407408,0.9,Quarter 1,0.0
Austin (TX),Wildlife,Normal,Unknown,5,Other,Unknown,5,Bat,1.0,PM,2014-08-03,1.0101010101010102,0.0,Quarter 2,1.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,Australian Cattle Dog,0.0,PM,2019-09-03,0.32786885245901637,0.54,Quarter 3,4.0
Lago Vista (TX),Stray,Nursing,Intact Female,1,Dog,Intact Female,1,rare_dog,0.0,PM,2014-04-27,0.32786885245901637,0.43200000000000005,Quarter 1,3.0
Austin (TX),Stray,Normal,Intact Female,2,Cat,Intact Female,2,Domestic Shorthair,0.0,PM,2015-08-26,0.32786885245901637,0.54,Quarter 2,3.0
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,Labrador Retriever,0.0,PM,2016-07-09,0.32786885245901637,0.54,Quarter 2,4.0
Travis (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,2,Domestic Shorthair,0.0,AM,2016-10-20,0.32786885245901637,0.54,Quarter 3,23.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2019-05-30,0.303951367781155,0.54,Quarter 2,44.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,1,Domestic Longhair,0.0,AM,2018-06-08,0.32786885245901637,0.54,Quarter 2,8.0
Austin (TX),Stray,Normal,Intact Female,36,Dog,Spayed Female,36,rare_dog,0.0,PM,2015-02-16,0.32786885245901637,0.54,Quarter 1,57.0
Austin (TX),Stray,Nursing,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2014-10-23,0.32786885245901637,0.43200000000000005,Quarter 3,1.0
Leander (TX),Owner Surrender,Normal,Intact Female,2,Dog,Spayed Female,2,Pit Bull,0.0,PM,2014-09-08,0.32786885245901637,0.6,Quarter 3,1.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,1,Domestic Shorthair,0.0,PM,2018-05-26,0.303951367781155,0.54,Quarter 2,5.0
Austin (TX),Owner Surrender,Normal,Neutered Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2017-11-04,0.7407407407407408,1.0,Quarter 3,16.0
Pflugerville (TX),Stray,Normal,Intact Female,3,Dog,Spayed Female,4,Labrador Retriever,0.0,PM,2017-04-07,0.32786885245901637,0.54,Quarter 1,6.0
Austin (TX),Stray,Normal,Neutered Male,60,Dog,Neutered Male,60,Catahoula,0.0,PM,2016-10-01,0.7407407407407408,0.9,Quarter 3,3.0
Austin (TX),Stray,Normal,Intact Female,24,Dog,Spayed Female,24,German Shepherd,0.0,PM,2017-12-07,0.32786885245901637,0.54,Quarter 3,5.0
Austin (TX),Owner Surrender,Normal,Spayed Female,24,Dog,Spayed Female,24,Labrador Retriever,0.0,PM,2014-07-21,0.7575757575757576,1.0,Quarter 2,2.0
Austin (TX),Owner Surrender,Normal,Neutered Male,36,Dog,Neutered Male,36,Chihuahua Longhair,0.0,AM,2016-05-25,0.7407407407407408,1.0,Quarter 2,70.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,8,Domestic Shorthair,0.0,PM,2015-05-21,0.32786885245901637,0.54,Quarter 2,231.0
Austin (TX),Stray,Nursing,Unknown,0,Cat,Unknown,0,Domestic Shorthair,0.0,PM,2016-05-01,1.0101010101010102,0.28800000000000003,Quarter 2,1.0
Austin (TX),Wildlife,Sick,Unknown,1,Other,Unknown,1,rare,1.0,PM,2014-03-22,1.0101010101010102,0.0,Quarter 1,0.0
Austin (TX),Stray,Normal,Neutered Male,24,Dog,Neutered Male,24,rare_dog,0.0,AM,2019-12-31,0.7407407407407408,0.9,Quarter 3,15.0
Austin (TX),Public Assist,Normal,Intact Male,24,Dog,Intact Male,24,Pit Bull,0.0,PM,2014-08-06,0.303951367781155,0.48,Quarter 2,14.0
Austin (TX),Owner Surrender,Normal,Intact Female,3,Cat,Spayed Female,5,Domestic Shorthair,0.0,AM,2016-07-11,0.32786885245901637,0.6,Quarter 2,62.0
Austin (TX),Stray,Injured,Intact Female,24,Cat,Intact Female,24,Domestic Shorthair,1.0,AM,2015-11-08,0.32786885245901637,0.10800000000000001,Quarter 3,4.0
Austin (TX),Stray,Injured,Intact Male,4,Dog,Neutered Male,5,Jack Russell Terrier,0.0,PM,2017-06-03,0.303951367781155,0.10800000000000001,Quarter 2,7.0
Austin (TX),Stray,Normal,Intact Male,36,Dog,Neutered Male,36,Pit Bull,0.0,PM,2013-10-08,0.303951367781155,0.54,Quarter 3,77.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2019-02-25,0.303951367781155,0.54,Quarter 1,8.0
Austin (TX),Owner Surrender,Normal,Spayed Female,1,Dog,Spayed Female,1,rare_dog,0.0,AM,2019-08-04,0.7575757575757576,1.0,Quarter 2,0.0
Travis (TX),Stray,Normal,Intact Female,11,Dog,Intact Female,1,Australian Shepherd,0.0,PM,2015-12-02,0.32786885245901637,0.54,Quarter 3,1.0
Austin (TX),Owner Surrender,Normal,Neutered Male,108,Dog,Neutered Male,108,Dachshund,0.0,PM,2018-08-18,0.7407407407407408,1.0,Quarter 2,15.0
Austin (TX),Wildlife,Normal,Unknown,24,Other,Unknown,24,Bat,1.0,PM,2017-03-16,1.0101010101010102,0.0,Quarter 1,0.0
Austin (TX),Stray,Normal,Spayed Female,36,Dog,Spayed Female,36,rare_dog,0.0,AM,2017-10-22,0.7575757575757576,0.9,Quarter 3,0.0
Austin (TX),Owner Surrender,Normal,Intact Female,4,Cat,Spayed Female,4,Domestic Shorthair,0.0,PM,2019-12-02,0.32786885245901637,0.6,Quarter 3,16.0
Travis (TX),Stray,Sick,Intact Male,2,Cat,Intact Male,3,Domestic Shorthair,0.0,PM,2014-07-24,0.303951367781155,0.10800000000000001,Quarter 2,4.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2016-08-31,0.303951367781155,0.54,Quarter 2,8.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,AM,2017-09-11,0.32786885245901637,0.54,Quarter 3,4.0
Austin (TX),Stray,Normal,Intact Male,10,Dog,Intact Male,10,Chihuahua Shorthair,0.0,PM,2016-05-11,0.303951367781155,0.54,Quarter 2,4.0
Austin (TX),Stray,Sick,Spayed Female,60,Cat,Spayed Female,60,Domestic Shorthair,1.0,AM,2018-04-18,0.7575757575757576,0.18000000000000002,Quarter 1,3.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,AM,2019-06-17,0.32786885245901637,0.54,Quarter 2,6.0
Austin (TX),Euthanasia Request,Sick,Intact Male,48,Dog,Intact Male,48,Pit Bull,1.0,AM,2015-08-08,0.303951367781155,0.0,Quarter 2,0.0
Austin (TX),Owner Surrender,Normal,Neutered Male,10,Dog,Neutered Male,10,Chihuahua Shorthair,0.0,PM,2019-04-01,0.7407407407407408,1.0,Quarter 1,3.0
Austin (TX),Owner Surrender,Normal,Spayed Female,36,Dog,Spayed Female,36,Pit Bull,0.0,PM,2014-11-06,0.7575757575757576,1.0,Quarter 3,3.0
Austin (TX),Public Assist,Normal,Intact Male,0,Dog,Intact Male,0,rare_dog,0.0,PM,2015-05-29,0.303951367781155,0.48,Quarter 2,2.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,2,German Shepherd,0.0,PM,2019-06-02,0.303951367781155,0.54,Quarter 2,4.0
Austin (TX),Owner Surrender,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Medium Hair,0.0,PM,2016-09-14,0.303951367781155,0.6,Quarter 3,9.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,1,rare_dog,0.0,PM,2017-08-16,0.303951367781155,0.54,Quarter 2,4.0
Travis (TX),Public Assist,Normal,Spayed Female,36,Dog,Spayed Female,36,Australian Cattle Dog,0.0,PM,2017-07-27,0.7575757575757576,0.8,Quarter 2,10.0
Austin (TX),Stray,Normal,Intact Female,9,Dog,Spayed Female,10,rare_dog,0.0,AM,2019-09-19,0.32786885245901637,0.54,Quarter 3,4.0
Manor (TX),Stray,Normal,Intact Female,24,Dog,Spayed Female,24,Boxer,0.0,PM,2015-10-03,0.32786885245901637,0.54,Quarter 3,8.0
Austin (TX),Owner Surrender,Aged,Neutered Male,144,Cat,Neutered Male,144,Domestic Shorthair,0.0,AM,2016-10-11,0.7407407407407408,0.7,Quarter 3,13.0
Austin (TX),Stray,Injured,Intact Male,1,Cat,Neutered Male,1,Domestic Shorthair,0.0,AM,2018-04-30,0.303951367781155,0.10800000000000001,Quarter 1,5.0
Austin (TX),Owner Surrender,Normal,Intact Male,24,Dog,Neutered Male,36,Pit Bull,0.0,PM,2017-11-04,0.303951367781155,0.6,Quarter 3,365.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2018-06-03,0.32786885245901637,0.54,Quarter 2,5.0
Austin (TX),Owner Surrender,Normal,Neutered Male,72,Dog,Neutered Male,72,Cairn Terrier,0.0,PM,2013-12-08,0.7407407407407408,1.0,Quarter 3,2.0
Austin (TX),Stray,Injured,Spayed Female,180,Cat,Spayed Female,180,Domestic Shorthair,0.0,PM,2017-04-20,0.7575757575757576,0.18000000000000002,Quarter 1,6.0
Austin (TX),Stray,Normal,Spayed Female,84,Dog,Spayed Female,84,rare_dog,0.0,PM,2017-03-23,0.7575757575757576,0.9,Quarter 1,0.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2017-08-29,0.303951367781155,0.54,Quarter 2,0.0
Austin (TX),Public Assist,Normal,Spayed Female,48,Dog,Spayed Female,48,rare_dog,0.0,PM,2018-07-27,0.7575757575757576,0.8,Quarter 2,11.0
Austin (TX),Owner Surrender,Normal,Neutered Male,60,Dog,Neutered Male,60,Cairn Terrier,0.0,AM,2015-01-07,0.7407407407407408,1.0,Quarter 1,5.0
Travis (TX),Stray,Injured,Intact Female,9,Dog,Spayed Female,10,rare_dog,0.0,AM,2016-12-23,0.32786885245901637,0.10800000000000001,Quarter 3,11.0
Austin (TX),Stray,Normal,Neutered Male,60,Cat,Neutered Male,60,Domestic Shorthair,0.0,PM,2013-11-29,0.7407407407407408,0.9,Quarter 3,51.0
Austin (TX),Stray,Normal,Unknown,0,Cat,Unknown,0,Domestic Shorthair,0.0,PM,2019-09-19,1.0101010101010102,0.36000000000000004,Quarter 3,0.0
Austin (TX),Stray,Injured,Intact Female,2,Cat,Spayed Female,4,Domestic Shorthair,0.0,PM,2019-07-13,0.32786885245901637,0.10800000000000001,Quarter 2,42.0
Austin (TX),Stray,Normal,Neutered Male,7,Dog,Neutered Male,7,rare_dog,0.0,PM,2016-09-04,0.7407407407407408,0.9,Quarter 3,0.0
Austin (TX),Stray,Normal,Intact Male,2,Cat,Intact Male,2,Domestic Shorthair,0.0,PM,2014-07-06,0.303951367781155,0.54,Quarter 2,5.0
Travis (TX),Stray,Injured,Unknown,1,Bird,Unknown,1,Chicken,1.0,PM,2019-03-05,1.0101010101010102,0.036000000000000004,Quarter 1,2.0
Austin (TX),Stray,Normal,Intact Male,2,Dog,Neutered Male,2,rare_dog,0.0,PM,2019-09-07,0.303951367781155,0.54,Quarter 3,7.0
Manor (TX),Stray,Normal,Spayed Female,24,Cat,Spayed Female,24,Domestic Shorthair,0.0,PM,2017-02-11,0.7575757575757576,0.9,Quarter 1,15.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,rare_cat,0.0,PM,2015-06-01,0.303951367781155,0.54,Quarter 2,26.0
Austin (TX),Stray,Sick,Intact Female,2,Dog,Spayed Female,2,Boxer,0.0,AM,2014-08-02,0.32786885245901637,0.10800000000000001,Quarter 2,19.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2019-09-13,0.32786885245901637,0.54,Quarter 3,0.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,AM,2014-06-23,0.32786885245901637,0.54,Quarter 2,0.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,AM,2016-10-24,0.303951367781155,0.54,Quarter 3,6.0
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,36,Boxer,0.0,PM,2015-05-19,0.303951367781155,0.54,Quarter 2,3.0
Austin (TX),Public Assist,Normal,Intact Female,1,Dog,Intact Female,1,Pit Bull,0.0,PM,2016-05-18,0.32786885245901637,0.48,Quarter 2,8.0
Austin (TX),Stray,Normal,Neutered Male,48,Dog,Neutered Male,48,rare_dog,0.0,PM,2015-08-20,0.7407407407407408,0.9,Quarter 2,0.0
Austin (TX),Stray,Normal,Neutered Male,24,Cat,Neutered Male,24,Domestic Longhair,0.0,PM,2014-04-17,0.7407407407407408,0.9,Quarter 1,18.0
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,PM,2019-05-03,1.0101010101010102,0.36000000000000004,Quarter 2,0.0
Austin (TX),Stray,Normal,Neutered Male,48,Dog,Neutered Male,48,rare_dog,0.0,AM,2014-12-15,0.7407407407407408,0.9,Quarter 3,12.0
Austin (TX),Stray,Normal,Neutered Male,11,Dog,Neutered Male,11,Labrador Retriever,0.0,PM,2016-05-14,0.7407407407407408,0.9,Quarter 2,6.0
Austin (TX),Owner Surrender,Medical,Spayed Female,3,Cat,Spayed Female,2,Domestic Shorthair,0.0,PM,2019-12-01,0.7575757575757576,0.8,Quarter 3,15.0
Austin (TX),Stray,Normal,Intact Female,9,Cat,Intact Female,10,Domestic Longhair,0.0,PM,2014-10-30,0.32786885245901637,0.54,Quarter 3,1.0
Travis (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,rare_dog,0.0,AM,2018-07-23,0.303951367781155,0.54,Quarter 2,4.0
Austin (TX),Stray,Normal,Intact Female,7,Dog,Spayed Female,8,Pointer,0.0,AM,2019-03-06,0.32786885245901637,0.54,Quarter 1,18.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,1,rare_dog,0.0,PM,2016-06-22,0.303951367781155,0.54,Quarter 2,5.0
Austin (TX),Euthanasia Request,Sick,Neutered Male,120,Dog,Neutered Male,120,Miniature Poodle,1.0,PM,2016-05-25,0.7407407407407408,0.0,Quarter 2,1.0
Outside Jurisdiction,Owner Surrender,Normal,Spayed Female,1,Dog,Spayed Female,1,Pit Bull,0.0,PM,2015-12-31,0.7575757575757576,1.0,Quarter 3,15.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2015-05-23,0.303951367781155,0.54,Quarter 2,52.0
Austin (TX),Owner Surrender,Normal,Unknown,1,Other,Unknown,1,rare,0.0,PM,2017-05-23,1.0101010101010102,0.12,Quarter 2,0.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,AM,2014-06-18,0.32786885245901637,0.54,Quarter 2,0.0
Austin (TX),Stray,Nursing,Intact Male,0,Dog,Intact Male,0,Pit Bull,0.0,PM,2015-04-10,0.303951367781155,0.43200000000000005,Quarter 1,0.0
Travis (TX),Stray,Normal,Intact Male,4,Dog,Neutered Male,4,Labrador Retriever,0.0,PM,2014-01-07,0.303951367781155,0.54,Quarter 1,5.0
Austin (TX),Owner Surrender,Normal,Intact Male,0,Dog,Intact Male,0,rare_dog,0.0,PM,2013-11-04,0.303951367781155,0.6,Quarter 3,0.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,2,Domestic Shorthair,0.0,PM,2019-05-04,0.303951367781155,0.54,Quarter 2,33.0
Austin (TX),Stray,Normal,Intact Female,5,Cat,Intact Female,5,Domestic Shorthair,0.0,AM,2015-01-20,0.32786885245901637,0.54,Quarter 1,1.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,PM,2016-05-05,0.32786885245901637,0.54,Quarter 2,4.0
Austin (TX),Stray,Normal,Intact Female,24,Cat,Spayed Female,24,Siamese,0.0,PM,2017-04-03,0.32786885245901637,0.54,Quarter 1,4.0
Austin (TX),Stray,Normal,Intact Female,5,Dog,Spayed Female,5,rare_dog,0.0,PM,2015-01-27,0.32786885245901637,0.54,Quarter 1,7.0
Travis (TX),Stray,Normal,Intact Female,24,Dog,Spayed Female,24,rare_dog,0.0,PM,2015-02-13,0.32786885245901637,0.54,Quarter 1,11.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,5,Domestic Medium Hair,0.0,AM,2016-09-29,0.32786885245901637,0.54,Quarter 3,135.0
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,rare_dog,0.0,PM,2019-03-08,0.303951367781155,0.54,Quarter 1,4.0
Pflugerville (TX),Stray,Normal,Spayed Female,156,Cat,Spayed Female,156,Domestic Medium Hair,0.0,PM,2017-10-22,0.7575757575757576,0.9,Quarter 3,1.0
Austin (TX),Stray,Normal,Unknown,0,Other,Unknown,0,rare,0.0,AM,2015-11-10,1.0101010101010102,0.10800000000000001,Quarter 3,2.0
Austin (TX),Stray,Normal,Spayed Female,1,Dog,Spayed Female,1,Pit Bull,0.0,PM,2018-03-28,0.7575757575757576,0.9,Quarter 1,0.0
Travis (TX),Stray,Normal,Intact Female,8,Dog,Spayed Female,8,rare_dog,0.0,PM,2019-11-25,0.32786885245901637,0.54,Quarter 3,9.0
Austin (TX),Owner Surrender,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2015-08-06,0.303951367781155,0.6,Quarter 2,9.0
Austin (TX),Owner Surrender,Normal,Spayed Female,84,Dog,Spayed Female,96,Labrador Retriever,0.0,PM,2017-10-11,0.7575757575757576,1.0,Quarter 3,203.0
Pflugerville (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,Labrador Retriever,0.0,PM,2013-12-27,0.303951367781155,0.54,Quarter 3,3.0
Austin (TX),Owner Surrender,Normal,Intact Male,1,Dog,Intact Male,1,Chihuahua Shorthair,0.0,AM,2013-12-31,0.303951367781155,0.6,Quarter 3,0.0
